Q.NO.,Q.Type,Date,Ministry,Member,Subject,links
2098,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Chakraborty,Ms. Mimi",Underweight Children,http://164.100.24.220/loksabhaquestions/annex/179/AU2098.pdf
2097,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Kolhe,Dr. Amol Ramsing,Tatkare,Shri Sunil Dattatray,Sharma,Shri Kuldeep Rai,Sule,Smt. Supriya Sadanand,Senthilkumar. S.,Shri DNV",Rashtriya Mahila Kosh,http://164.100.24.220/loksabhaquestions/annex/179/AU2097.pdf
2094,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Maran,Thiru Dayanidhi",Women Self Help Groups,http://164.100.24.220/loksabhaquestions/annex/179/AU2094.pdf
2091,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Sawant,Shri Arvind Ganpat,Bhavana Gawali (Patil), Ms.",One Stop Centres,http://164.100.24.220/loksabhaquestions/annex/179/AU2091.pdf
2090,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Sagar,Shri Arun Kumar,Kataria,Shri Rattan Lal,Bohra,Shri Ramcharan",Crime against Children,http://164.100.24.220/loksabhaquestions/annex/179/AU2090.pdf
2084,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Jadhav,Dr. Umesh G.,Muniswamy,Shri S.,Surya,Shri L.S. Tejasvi,Mahaswamiji,Dr. Jaisiddeshwar Shivacharya,Raghavendra,Shri B. Y.,Karadi,Shri Sanganna Amarappa",Regularisation of Anganwadi Workers,http://164.100.24.220/loksabhaquestions/annex/179/AU2084.pdf
2082,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Velusamy,Shri P.",Complaints about International Adoptions,http://164.100.24.220/loksabhaquestions/annex/179/AU2082.pdf
2080,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Patel,Shri Parbatbhai Savabhai,Kachhadiya,Shri Naranbhai Bhikhabhai",Awareness about Malnutrition,http://164.100.24.220/loksabhaquestions/annex/179/AU2080.pdf
2077,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Reddy,Shri Kotha Prabhakar",Child Care Institutions,http://164.100.24.220/loksabhaquestions/annex/179/AU2077.pdf
2076,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Gogoi,Shri Gaurav",Pandemic Efffect on Child Marriages,http://164.100.24.220/loksabhaquestions/annex/179/AU2076.pdf
2075,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Madhavi,Ms. Goddeti,Unnithan,Shri Rajmohan,Reddy,Shri Midhun",Mahila Shakti Kendra,http://164.100.24.220/loksabhaquestions/annex/179/AU2075.pdf
2071,UNSTARRED ,29.07.2022,WOMEN AND CHILD DEVELOPMENT,"Naik-Nimbalkar,Shri Ranjeetsinha Hindurao,Shrangre,Shri Sudhakar Tukaram,Nath,Shri Balak",Fortified Rice under ICDS,http://164.100.24.220/loksabhaquestions/annex/179/AU2071.pdf
99,STARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Kirtikar,Shri Gajanan Chandrakant,Pon,Shri Gautham Sigamani",POSHAN Abhiyaan,http://164.100.24.220/loksabhaquestions/annex/179/AS99.pdf
94,STARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Syed,Shri Imtiaz Jaleel",Universalization of ECCE,http://164.100.24.220/loksabhaquestions/annex/179/AS94.pdf
92,STARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Prathapan,Shri T.N.",Malnutrition,http://164.100.24.220/loksabhaquestions/annex/179/AS92.pdf
1150,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Pandey,Shri Ritesh",Anganwadi Centres,http://164.100.24.220/loksabhaquestions/annex/179/AU1150.pdf
1148,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Kapoor,Shri Kishan",Assistance to Pregnant Women,http://164.100.24.220/loksabhaquestions/annex/179/AU1148.pdf
1146,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Banerjee,Shri Kalyan",Compensation to Deceased Anganwadi Workers,http://164.100.24.220/loksabhaquestions/annex/179/AU1146.pdf
1140,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Bista,Shri Raju,Ray,Smt. Sandhya,Bhavana Gawali (Patil), Ms. ,Delkar,Smt. Kalaben Mohanbhai",Funds under Mahila Shakti Kendra,http://164.100.24.220/loksabhaquestions/annex/179/AU1140.pdf
1128,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Ravikumar,Shri D.",Introduction of Menopause Policy,http://164.100.24.220/loksabhaquestions/annex/179/AU1128.pdf
1120,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Sahu,Shri Chunni Lal",Pension to Destitute and Widow Women,http://164.100.24.220/loksabhaquestions/annex/179/AU1120.pdf
1115,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Mahtab,Shri Bhartruhari",Kanya Shiksha Pravesh Utsav,http://164.100.24.220/loksabhaquestions/annex/179/AU1115.pdf
1104,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Pal ,Shri Jagdambika",Adoption through Central Adoption Resource Authority,http://164.100.24.220/loksabhaquestions/annex/179/AU1104.pdf
1102,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Patel,Shri Gajendra Singh",Schemes for Tribal Area,http://164.100.24.220/loksabhaquestions/annex/179/AU1102.pdf
1087,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Shyal,Dr. Bharatiben Dhirubhai,Lalwani,Shri Shankar",Gender Based Violence,http://164.100.24.220/loksabhaquestions/annex/179/AU1087.pdf
1085,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Kora,Smt. Geeta",Anganwadi Centres in Jharkhand,http://164.100.24.220/loksabhaquestions/annex/179/AU1085.pdf
1080,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Rehman,Shri Haji Fazlur",Financial Assistance to Pregnant Women,http://164.100.24.220/loksabhaquestions/annex/179/AU1080.pdf
1075,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Basheer,Shri E. T. Mohammed",Dowry System,http://164.100.24.220/loksabhaquestions/annex/179/AU1075.pdf
1066,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Patil,Shri C. R.",Scheme for Adolescent Girls,http://164.100.24.220/loksabhaquestions/annex/179/AU1066.pdf
1060,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Sahoo,Shri Mahesh",Position of India in Global Hunger Index,http://164.100.24.220/loksabhaquestions/annex/179/AU1060.pdf
1047,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Rathore,Col. Rajyavardhan Singh",Nirbhaya Fund,http://164.100.24.220/loksabhaquestions/annex/179/AU1047.pdf
1040,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Panda,Shri Basanta Kumar",STEP Scheme,http://164.100.24.220/loksabhaquestions/annex/179/AU1040.pdf
1039,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Vikhepatil,Dr. Sujay Radhakrishna,Joshi,Prof. Rita Bahuguna,Gavit,Dr. Heena Vijaykumar,Yadav,Shri Krishna Pal Singh,Shinde,Dr. Shrikant Eknath",Road Map to Tackle Malnutrition,http://164.100.24.220/loksabhaquestions/annex/179/AU1039.pdf
1036,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Mendhe,Shri Sunil Baburao,Kataria,Shri Rattan Lal",Funds Allocation under Various Schemes,http://164.100.24.220/loksabhaquestions/annex/179/AU1036.pdf
1032,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Ruhi,Ms. Nusrat Jahan",ICDS Scheme in West Bengal,http://164.100.24.220/loksabhaquestions/annex/179/AU1032.pdf
1030,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Mendhe,Shri Sunil Baburao,Dharambir Singh,Shri",Funds under Beti Bachao Beti Padhao Scheme,http://164.100.24.220/loksabhaquestions/annex/179/AU1030.pdf
1020,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Nallakonda Gari,Shri Reddeppa,Reddy,Shri Midhun",Swadhar Greh Scheme,http://164.100.24.220/loksabhaquestions/annex/179/AU1020.pdf
1014,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Mondal,Smt. Pratima",Specialised Adoption Agencies,http://164.100.24.220/loksabhaquestions/annex/179/AU1014.pdf
1006,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Kaswan,Shri Rahul",Model Anganwadi Kendra,http://164.100.24.220/loksabhaquestions/annex/179/AU1006.pdf
1001,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Patil,Shri Bheemrao Baswanthrao",Schemes for Welfare of Women,http://164.100.24.220/loksabhaquestions/annex/179/AU1001.pdf
989,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Dubey,Dr. Nishikant",Malnutrition in Schedule Tribe Concentrated Areas,http://164.100.24.220/loksabhaquestions/annex/179/AU989.pdf
988,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Tharoor,Dr. Shashi",Adoption of Orphans,http://164.100.24.220/loksabhaquestions/annex/179/AU988.pdf
983,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Kora,Smt. Geeta,Patel,Shri Mitesh Rameshbhai (Bakabhai),Patel,Smt. Shardaben Anilbhai",Integrated Child Development Scheme,http://164.100.24.220/loksabhaquestions/annex/179/AU983.pdf
977,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Chakraborty,Ms. Mimi",National Creche Scheme,http://164.100.24.220/loksabhaquestions/annex/179/AU977.pdf
975,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Bapat,Shri Girish Bhalchandra,Sahu,Shri Chandra Sekhar,Munde,Dr. Pritam Gopinath,Shewale,Shri Rahul Ramesh",Human Trafficking Cases,http://164.100.24.220/loksabhaquestions/annex/179/AU975.pdf
972,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Tadas,Shri Ramdas Chandrabhanji",Photo Identity Card to New Born Baby,http://164.100.24.220/loksabhaquestions/annex/179/AU972.pdf
969,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Anuradha,Smt. Chinta ,Reddy,Shri Y. S. Avinash",One Stop Centres in Andhra Pradesh,http://164.100.24.220/loksabhaquestions/annex/179/AU969.pdf
966,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Patil,Shri Unmesh Bhaiyyasaheb,Bind,Shri Ramesh Chand ,Vichare,Shri Rajan Baburao ,Poddar,Smt. Aparupa ,Gavit,Shri Rajendra Dhedya ,Nagar,Shri Rodmal",Schemes for Development of Women and Children,http://164.100.24.220/loksabhaquestions/annex/179/AU966.pdf
947,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Tadas,Shri Ramdas Chandrabhanji,Ram,Shri Vishnu Dayal",Schemes through NGOs,http://164.100.24.220/loksabhaquestions/annex/179/AU947.pdf
932,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Murmu,Shri Khagen",Training for Anganwadi Workers,http://164.100.24.220/loksabhaquestions/annex/179/AU932.pdf
924,UNSTARRED ,22.07.2022,WOMEN AND CHILD DEVELOPMENT,"Reddy,Shri Kotha Prabhakar",Guidelines for Employment of Children,http://164.100.24.220/loksabhaquestions/annex/179/AU924.pdf
439,STARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Singh,Shri Parvesh Sahib",Children Involved in Begging,http://164.100.24.220/loksabhaquestions/annex/178/AS439.pdf
432,STARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Ram,Shri Shiromani",Prevention of Crime against Women,http://164.100.24.220/loksabhaquestions/annex/178/AS432.pdf
427,STARRED Supp. Ques  ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Patel,Shri R.K. Singh",Global Gender Gap Report,http://164.100.24.220/loksabhaquestions/annex/178/AS427.pdf
426,STARRED Supp. Ques  ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Tadas,Shri Ramdas Chandrabhanji",New Norms on Malnutrition,http://164.100.24.220/loksabhaquestions/annex/178/AS426.pdf
425,STARRED Supp. Ques  ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Reddy,Shri Uttam Kumar Nalamada,Angadi,Smt. Mangal Suresh",Facilities at Anganwadi Centres,http://164.100.24.220/loksabhaquestions/annex/178/AS425.pdf
422,STARRED Supp. Ques  ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Owaisi,Shri Asaduddin",Participation of Children in TV Programmes,http://164.100.24.220/loksabhaquestions/annex/178/AS422.pdf
5060,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Kolhe,Dr. Amol Ramsing,Bapat,Shri Girish Bhalchandra,Tatkare,Shri Sunil Dattatray,Bhamre,Dr. Subhash Ramrao,Sahu,Shri Chandra Sekhar,Munde,Dr. Pritam Gopinath,Shewale,Shri Rahul Ramesh,Sule,Smt. Supriya Sadanand,Senthilkumar. S.,Shri DNV",Ujjawala Scheme,http://164.100.24.220/loksabhaquestions/annex/178/AU5060.pdf
5059,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Bhatia,Shri Sanjay",One Stop Centre,http://164.100.24.220/loksabhaquestions/annex/178/AU5059.pdf
5058,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Kashyap,Shri Dharmendra Kumar",Child Rights Legal Cell,http://164.100.24.220/loksabhaquestions/annex/178/AU5058.pdf
5047,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Singh,Shri Parvesh Sahib",Child Marriage,http://164.100.24.220/loksabhaquestions/annex/178/AU5047.pdf
5043,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Jawed,Dr. Mohammad,Benny,Shri Behanan,Prathapan,Shri T.N.,Muraleedharan,Shri K.,Antony, Shri Anto",Methodology to Measure Malnutrition,http://164.100.24.220/loksabhaquestions/annex/178/AU5043.pdf
5038,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Chaudhary,Shri Pradeep Kumar",Mahila Shakti Kendra in Uttar Pradesh,http://164.100.24.220/loksabhaquestions/annex/178/AU5038.pdf
5034,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Ray,Smt. Sandhya",Development of Women and Children,http://164.100.24.220/loksabhaquestions/annex/178/AU5034.pdf
5030,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Shanmuga Sundaram,Shri K.",Child Trafficking,http://164.100.24.220/loksabhaquestions/annex/178/AU5030.pdf
5029,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Kaswan,Shri Rahul",Corruption in Anganwadi Kendra,http://164.100.24.220/loksabhaquestions/annex/178/AU5029.pdf
5025,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Rana,Smt Navneet Ravi",Beneficiary under ICDS,http://164.100.24.220/loksabhaquestions/annex/178/AU5025.pdf
5019,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Chandra,Shri Girish",Implementation of PMMVY,http://164.100.24.220/loksabhaquestions/annex/178/AU5019.pdf
5009,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Devi,Smt. Rama",Integrated Child development programme,http://164.100.24.220/loksabhaquestions/annex/178/AU5009.pdf
5006,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Vasava,Shri Mansukhbhai Dhanjibhai,Darbar,Shri Chhatar Singh",Socio-Economic Development of Women,http://164.100.24.220/loksabhaquestions/annex/178/AU5006.pdf
5001,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Malothu,Smt. Kavitha,Borlakunta,Shri Venkatesh Netha,Pasunoori,Shri Dayakar,Reddy,Dr. Gaddam Ranjith",Poshan Abhiyan in Telangana,http://164.100.24.220/loksabhaquestions/annex/178/AU5001.pdf
4989,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Prasad,Shri Chandeshwar",Women Welfare Policy,http://164.100.24.220/loksabhaquestions/annex/178/AU4989.pdf
4981,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Singh,Shri Devendra (Alias) Bhole Singh",Orphanages,http://164.100.24.220/loksabhaquestions/annex/178/AU4981.pdf
4975,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Rathore,Col. Rajyavardhan Singh",Saksham Anganwadi,http://164.100.24.220/loksabhaquestions/annex/178/AU4975.pdf
4972,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Bohra,Shri Ramcharan",Sexual Exploitation Against Children,http://164.100.24.220/loksabhaquestions/annex/178/AU4972.pdf
4969,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Adhikari, Shri Sisir Kumar,Mallick,(Dr.) Smt. Rajashree",PM POSHAN,http://164.100.24.220/loksabhaquestions/annex/178/AU4969.pdf
4966,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Meena,Smt. Jaskaur",Capacity Building Programme,http://164.100.24.220/loksabhaquestions/annex/178/AU4966.pdf
4952,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Tadas,Shri Ramdas Chandrabhanji,Tagore B,Shri Manickam",Expansion of NCW,http://164.100.24.220/loksabhaquestions/annex/178/AU4952.pdf
4947,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Patel,Shri Mitesh Rameshbhai (Bakabhai),Patel,Smt. Shardaben Anilbhai",Marital Rape,http://164.100.24.220/loksabhaquestions/annex/178/AU4947.pdf
4945,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Nete,Shri Ashok Mahadeorao",Cases of Sexual Abuse in Juvenile Homes,http://164.100.24.220/loksabhaquestions/annex/178/AU4945.pdf
4942,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Patil,Shri Sanjay(Kaka) Ramchandra",Child Care Institutions,http://164.100.24.220/loksabhaquestions/annex/178/AU4942.pdf
4940,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Suresh,Shri Doddaalahalli Kempegowda",Wheat Based Nutrition Programme,http://164.100.24.220/loksabhaquestions/annex/178/AU4940.pdf
4934,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Sharma,Shri Vishnu Dutt,Panda,Shri Basanta Kumar",Redressal Mechanism under Swadhar Greh Scheme,http://164.100.24.220/loksabhaquestions/annex/178/AU4934.pdf
4916,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Ulaka,Shri Saptagiri Sankar",Children without Shelter,http://164.100.24.220/loksabhaquestions/annex/178/AU4916.pdf
4914,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Patil,Shri Sanjay(Kaka) Ramchandra,Gurumoorthy,Shri Maddila",Working Women Hostels,http://164.100.24.220/loksabhaquestions/annex/178/AU4914.pdf
4902,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Gogoi,Shri Gaurav",Mental Health of Children,http://164.100.24.220/loksabhaquestions/annex/178/AU4902.pdf
4898,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Shejwalkar,Shri Vivek Narayan",Welfare Schemes for Destitute Children,http://164.100.24.220/loksabhaquestions/annex/178/AU4898.pdf
4892,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Ray,Prof. Sougata",Conviction of Accused Persons,http://164.100.24.220/loksabhaquestions/annex/178/AU4892.pdf
4883,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Sigriwal,Shri Janardan Singh",Schemes of Destitute Women,http://164.100.24.220/loksabhaquestions/annex/178/AU4883.pdf
4879,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Mondal,Shri Sunil Kumar",Priority to Cases of Crimes against Children,http://164.100.24.220/loksabhaquestions/annex/178/AU4879.pdf
4871,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Suresh,Shri Doddaalahalli Kempegowda,Kora,Smt. Geeta,Reddy,Shri Magunta Sreenivasulu,Sharma,Shri Jugal Kishore,Pathak,Smt. Riti,Dr. T. Sumathy (a) Thamizhachi Thangapandian",Malnourished Children,http://164.100.24.220/loksabhaquestions/annex/178/AU4871.pdf
4867,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Ram Mohan Naidu,Shri Kinjarapu",Compensation to Pregnant Women under PMMVY,http://164.100.24.220/loksabhaquestions/annex/178/AU4867.pdf
4864,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Naik-Nimbalkar,Shri Ranjeetsinha Hindurao,Shrangre,Shri Sudhakar Tukaram,Kumari,Ms. Diya,Chaudhary,Shri P.P.,Kesineni,Shri Srinivas,Murmu,Ms. Chandrani,Agrawal, Shri Rajendra,Pal ,Shri Jagdambika",Study on Impact of Poshan Abhiyan,http://164.100.24.220/loksabhaquestions/annex/178/AU4864.pdf
4863,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Anuradha,Smt. Chinta",Creche/Day Care Centre,http://164.100.24.220/loksabhaquestions/annex/178/AU4863.pdf
4859,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Bhabhor,Shri Jaswantsinh Sumanbhai",Development of Children in NE States,http://164.100.24.220/loksabhaquestions/annex/178/AU4859.pdf
4858,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Venkata Satyavathi,Dr. Beesetti ,Madhav,Shri Kuruva Gorantla",Anganwadi Centres in Andhra Pradesh,http://164.100.24.220/loksabhaquestions/annex/178/AU4858.pdf
4854,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Patil,Shri Unmesh Bhaiyyasaheb,Vikhepatil,Dr. Sujay Radhakrishna,Gavit,Dr. Heena Vijaykumar,Poddar,Smt. Aparupa ,Gavit,Shri Rajendra Dhedya ,Yadav,Shri Krishna Pal Singh,Shinde,Dr. Shrikant Eknath",National Creche Scheme,http://164.100.24.220/loksabhaquestions/annex/178/AU4854.pdf
4853,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Jawed,Dr. Mohammad",Health Expenditure for Children,http://164.100.24.220/loksabhaquestions/annex/178/AU4853.pdf
4852,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Surya,Shri L.S. Tejasvi,Chaudhary,Shri P.P.,Khaleque, Shri Abdul,Kesineni,Shri Srinivas,Agrawal, Shri Rajendra,Pal ,Shri Jagdambika,Sarangi,Smt. Aparajita",Compensation Scheme for Women Victims of Sexual Assault,http://164.100.24.220/loksabhaquestions/annex/178/AU4852.pdf
4849,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Bhavana Gawali (Patil), Ms.",Financial Package to Women Entrepreneurs,http://164.100.24.220/loksabhaquestions/annex/178/AU4849.pdf
4848,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Chaudhary,Shri Bhagirath ,Kora,Smt. Geeta,Ariff,Adv. Abdul Majeed,Kuriakose,Adv. Dean,Rana,Smt Navneet Ravi,Gogoi,Shri Gaurav,Ahmed,Smt. Sajda,Chudasama,Shri Rajeshbhai Naranbhai,Kaswan,Shri Rahul,Sharma,Shri Jugal Kishore,Kodikunnil,Shri Suresh,Gandhi,Shri Feroze Varun,Parthiban,Shri S.R.",Honorarium/Wages to Anganwadi Workers,http://164.100.24.220/loksabhaquestions/annex/178/AU4848.pdf
4847,UNSTARRED ,01.04.2022,WOMEN AND CHILD DEVELOPMENT,"Bhatia,Shri Sanjay",STEP Scheme,http://164.100.24.220/loksabhaquestions/annex/178/AU4847.pdf
328,STARRED ,25.03.2022,WOMEN AND CHILD DEVELOPMENT,"Majumdar,Dr. Sukanta,Singh,Shri Rajveer (Raju Bhaiya)",Welfare Schemes for Women and Children,http://164.100.24.220/loksabhaquestions/annex/178/AS328.pdf
3907,UNSTARRED ,25.03.2022,WOMEN AND CHILD DEVELOPMENT,"Kamait,Shri Dileshwar,Mahato,Shri Jyotirmay Singh,Das,Shri Pallab Lochan,Kora,Smt. Geeta,Sharma,Shri Jugal Kishore,Patel,Shri Mitesh Rameshbhai (Bakabhai),Patel,Smt. Shardaben Anilbhai",Street Children,http://164.100.24.220/loksabhaquestions/annex/178/AU3907.pdf
3903,UNSTARRED ,25.03.2022,WOMEN AND CHILD DEVELOPMENT,"Kumar,Shri Vijay",National Domestic Violence Helpline,http://164.100.24.220/loksabhaquestions/annex/178/AU3903.pdf
3890,UNSTARRED ,25.03.2022,WOMEN AND CHILD DEVELOPMENT,"Mohammed,Shri Faizal P.P.",Suicide by Women,http://164.100.24.220/loksabhaquestions/annex/178/AU3890.pdf
3881,UNSTARRED ,25.03.2022,WOMEN AND CHILD DEVELOPMENT,"Ve.,Shri Vaithilingam",Social Welfare Board,http://164.100.24.220/loksabhaquestions/annex/178/AU3881.pdf
3875,UNSTARRED ,25.03.2022,WOMEN AND CHILD DEVELOPMENT,"Banerjee,Shri Kalyan",Decline in Budget Allocation for Children,http://164.100.24.220/loksabhaquestions/annex/178/AU3875.pdf
3872,UNSTARRED ,25.03.2022,WOMEN AND CHILD DEVELOPMENT,"Kumar Pintu,Shri Sunil",Parivarik Mahila Lok Adalat,http://164.100.24.220/loksabhaquestions/annex/178/AU3872.pdf
3853,UNSTARRED ,25.03.2022,WOMEN AND CHILD DEVELOPMENT,"Hema Malini,Smt.",Priority to Malnutrition Issues,http://164.100.24.220/loksabhaquestions/annex/178/AU3853.pdf
3847,UNSTARRED ,25.03.2022,WOMEN AND CHILD DEVELOPMENT,"Jaunapuria,Shri Sukhbir Singh",Agreement with World Bank for NNM,http://164.100.24.220/loksabhaquestions/annex/178/AU3847.pdf
3823,UNSTARRED ,25.03.2022,WOMEN AND CHILD DEVELOPMENT,"Patil,Shri Shriniwas Dadasaheb",Implementation Status of PMMVY,http://164.100.24.220/loksabhaquestions/annex/178/AU3823.pdf
3822,UNSTARRED ,25.03.2022,WOMEN AND CHILD DEVELOPMENT,"Kaswan,Shri Rahul",Amendment in Dowry Prohibition Act,http://164.100.24.220/loksabhaquestions/annex/178/AU3822.pdf
3815,UNSTARRED ,25.03.2022,WOMEN AND CHILD DEVELOPMENT,"Solanki,Dr. (Prof.) Kirit Premjibhai",Restoration of Workforce Balance,http://164.100.24.220/loksabhaquestions/annex/178/AU3815.pdf
3804,UNSTARRED ,25.03.2022,WOMEN AND CHILD DEVELOPMENT,"Kumar,Shri Narendra",Women Participation in Workforce,http://164.100.24.220/loksabhaquestions/annex/178/AU3804.pdf
